HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
Lazio,Napoli,1,2,A,1,1
Bologna,Spal,0,1,A,0,0
Empoli,Cagliari,2,0,H,1,0
Parma,Udinese,2,2,D,1,0
Sassuolo,Inter,1,0,H,1,0
Torino,Roma,0,1,A,0,0
Atalanta,Frosinone,4,0,H,1,0
Juventus,Lazio,2,0,H,1,0
Napoli,Milan,3,2,H,0,1
Cagliari,Sassuolo,2,2,D,1,0
Fiorentina,Chievo,6,1,H,2,0
Frosinone,Bologna,0,0,D,0,0
Genoa,Empoli,2,1,H,2,0
Inter,Torino,2,2,D,2,0
Spal,Parma,1,0,H,0,0
Udinese,Sampdoria,1,0,H,1,0
Roma,Atalanta,3,3,D,1,3
Milan,Roma,2,1,H,1,0
Bologna,Inter,0,3,A,0,0
Parma,Juventus,1,2,A,1,1
Atalanta,Cagliari,0,1,A,0,1
Chievo,Empoli,0,0,D,0,0
Fiorentina,Udinese,1,0,H,0,0
Lazio,Frosinone,1,0,H,0,0
Sampdoria,Napoli,3,0,H,2,0
Sassuolo,Genoa,5,3,H,4,1
Torino,Spal,1,0,H,0,0
Frosinone,Sampdoria,0,5,A,0,1
Inter,Parma,0,1,A,0,0
Napoli,Fiorentina,1,0,H,0,0
Cagliari,Milan,1,1,D,1,0
Empoli,Lazio,0,1,A,0,0
Genoa,Bologna,1,0,H,0,0
Juventus,Sassuolo,2,1,H,0,0
Roma,Chievo,2,2,D,2,0
Udinese,Torino,1,1,D,1,0
Spal,Atalanta,2,0,H,0,0
Sampdoria,Fiorentina,1,1,D,0,1
Sassuolo,Empoli,3,1,H,1,1
Fiorentina,Spal,3,0,H,2,0
Parma,Cagliari,2,0,H,1,0
Sampdoria,Inter,0,1,A,0,0
Bologna,Roma,2,0,H,1,0
Chievo,Udinese,0,2,A,0,0
Frosinone,Juventus,0,2,A,0,0
Lazio,Genoa,4,1,H,2,0
Milan,Atalanta,2,2,D,1,0
Torino,Napoli,1,3,A,0,2
Inter,Fiorentina,2,1,H,1,0
Atalanta,Torino,0,0,D,0,0
Cagliari,Sampdoria,0,0,D,0,0
Genoa,Chievo,2,0,H,1,0
Juventus,Bologna,2,0,H,2,0
Napoli,Parma,3,0,H,1,0
Roma,Frosinone,4,0,H,3,0
Udinese,Lazio,1,2,A,0,0
Empoli,Milan,1,1,D,0,1
Spal,Sassuolo,0,2,A,0,0
Inter,Cagliari,2,0,H,1,0
Juventus,Napoli,3,1,H,1,1
Roma,Lazio,3,1,H,1,0
Bologna,Udinese,2,1,H,1,1
Chievo,Torino,0,1,A,0,0
Fiorentina,Atalanta,2,0,H,0,0
Frosinone,Genoa,1,2,A,1,2
Parma,Empoli,1,0,H,1,0
Sassuolo,Milan,1,4,A,0,1
Sampdoria,Spal,2,1,H,1,1
Torino,Frosinone,3,2,H,1,0
Cagliari,Bologna,2,0,H,1,0
Empoli,Roma,0,2,A,0,1
Udinese,Juventus,0,2,A,0,2
Atalanta,Sampdoria,0,1,A,0,0
Genoa,Parma,1,3,A,1,3
Lazio,Fiorentina,1,0,H,1,0
Milan,Chievo,3,1,H,2,0
Napoli,Sassuolo,2,0,H,1,0
Spal,Inter,1,2,A,0,1
Juventus,Genoa,1,1,D,1,0
Roma,Spal,0,2,A,0,1
Udinese,Napoli,0,3,A,0,1
Bologna,Torino,2,2,D,0,1
Chievo,Atalanta,1,5,A,0,2
Fiorentina,Cagliari,1,1,D,0,0
Frosinone,Empoli,3,3,D,1,1
Inter,Milan,1,0,H,0,0
Parma,Lazio,0,2,A,0,0
Sampdoria,Sassuolo,0,0,D,0,0
Atalanta,Parma,3,0,H,0,0
Empoli,Juventus,1,2,A,1,0
Torino,Fiorentina,1,1,D,1,1
Cagliari,Chievo,2,1,H,1,0
Genoa,Udinese,2,2,D,1,0
Milan,Sampdoria,3,2,H,2,2
Napoli,Roma,1,1,D,0,1
Sassuolo,Bologna,2,2,D,1,1
Spal,Frosinone,0,3,A,0,1
Lazio,Inter,0,3,A,0,2
Milan,Genoa,2,1,H,1,0
Napoli,Empoli,5,1,H,2,0
Fiorentina,Roma,1,1,D,1,0
Inter,Genoa,5,0,H,2,0
Juventus,Cagliari,3,1,H,2,1
Bologna,Atalanta,1,2,A,1,0
Chievo,Sassuolo,0,2,A,0,1
Lazio,Spal,4,1,H,2,1
Parma,Frosinone,0,0,D,0,0
Sampdoria,Torino,1,4,A,0,2
Udinese,Milan,0,1,A,0,0
Frosinone,Fiorentina,1,1,D,0,0
Genoa,Napoli,1,2,A,1,0
Spal,Cagliari,2,2,D,1,0
Torino,Parma,1,2,A,1,2
Atalanta,Inter,4,1,H,1,0
Chievo,Bologna,2,2,D,2,1
Empoli,Udinese,2,1,H,1,0
Milan,Juventus,0,2,A,0,1
Roma,Sampdoria,4,1,H,1,0
Sassuolo,Lazio,1,1,D,1,1
Inter,Frosinone,3,0,H,1,0
Juventus,Spal,2,0,H,1,0
Udinese,Roma,1,0,H,0,0
Bologna,Fiorentina,0,0,D,0,0
Empoli,Atalanta,3,2,H,1,2
Genoa,Sampdoria,1,1,D,1,1
Lazio,Milan,1,1,D,0,0
Napoli,Chievo,0,0,D,0,0
Parma,Sassuolo,2,1,H,2,1
Cagliari,Torino,0,0,D,0,0
Fiorentina,Juventus,0,3,A,0,1
Sampdoria,Bologna,4,1,H,3,1
Spal,Empoli,2,2,D,1,2
Chievo,Lazio,1,1,D,1,0
Frosinone,Cagliari,1,1,D,1,0
Milan,Parma,2,1,H,0,0
Roma,Inter,2,2,D,0,1
Sassuolo,Udinese,0,0,D,0,0
Torino,Genoa,2,1,H,2,1
Atalanta,Napoli,1,2,A,0,1
Juventus,Inter,1,0,H,0,0
Cagliari,Roma,2,2,D,0,2
Lazio,Sampdoria,2,2,D,0,1
Napoli,Frosinone,4,0,H,2,0
Empoli,Bologna,2,1,H,1,1
Genoa,Spal,1,1,D,1,1
Milan,Torino,0,0,D,0,0
Parma,Chievo,1,1,D,0,0
Sassuolo,Fiorentina,3,3,D,0,0
Udinese,Atalanta,1,3,A,1,1
Inter,Udinese,1,0,H,0,0
Torino,Juventus,0,1,A,0,0
Cagliari,Napoli,0,1,A,0,0
Fiorentina,Empoli,3,1,H,1,1
Frosinone,Sassuolo,0,2,A,0,1
